ID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
NA20763:NA20763	0.0591	-0.0572	0.0315	0.0282	-0.083	-0.1247	-0.0483	-0.0277	-0.012	0.0128	-0.0832	-0.035	-0.0428	-0.0047	0.0704	0.0636	-0.0243	0.0186	0.0529	0.0744
NA20764:NA20764	0.0777	0.0099	-0.0604	-0.0521	0.0696	-0.0724	-0.1112	-0.0354	0.0096	-0.0653	-0.0456	-0.0599	-0.0495	0.0441	-0.0137	-0.1035	0.0096	0.0319	0.0186	-0.0287
NA20765:NA20765	0.083	-0.0096	-0.0249	0.0413	-0.0473	0.0116	0.0495	-0.012	-0.008	0.0399	0.0441	-0.0305	0.0193	-0.0175	0.0465	-0.1263	0.0887	-0.0083	0.0141	-0.0255
NA20766:NA20766	0.0746	0.0204	0.0086	0.0351	-0.0078	-0.0029	0.0415	0.0245	0.0168	0.0245	0.0446	0.0403	0.0061	-0.0028	-0.023	0.0273	0.0506	0.0605	0.0337	0.0153
NA20767:NA20767	0.0705	-0.0604	0.0359	-0.028	-0.0459	-0.0038	0.0466	0.0061	-0.0286	-0.0804	-0.0374	-0.1229	-0.0064	-0.001	0.0362	-0.0288	-0.0072	0.0211	-0.0676	0.074
NA20768:NA20768	-0.0145	0.0063	0.0023	0.1053	-0.1392	0.0866	-0.003	0.0458	-0.0105	-0.0329	-0.0908	-0.003	0.0575	0.0753	0.0072	0.1178	-0.0253	0.0675	0.0602	0.071
NA20769:NA20769	0.0454	-0.0432	0.0311	-0.1022	0.0243	-0.0366	-0.0184	0.0313	0.0175	-0.0273	-0.0182	-0.022	0.0494	0.0092	-0.0489	0.0307	-0.0352	0.0379	-0.0197	-0.0165
NA20770:NA20770	0.049	0.0837	0.0729	-0.0458	0.0036	0.0063	0.0062	-0.021	-0.0149	0.003	0.0166	0.0277	-0.0348	0.0595	0.0755	0.0144	0.0156	0.0109	-0.0369	0.0881
NA20771:NA20771	0.0452	0.0292	0.0419	-0.0417	-0.0133	0.0043	0.0012	-0.0074	-0.0325	-0.0096	0.0423	0.0533	0	-0.0165	0.0399	0.0346	0.0388	0.0503	-0.0066	0.1463
NA20772:NA20772	0.0454	0.0011	-0.011	0.1043	-0.136	-0.0869	-0.1453	-0.014	-0.0125	-0.001	-0.0175	-0.0736	0.0033	-0.0415	-0.0601	8e-04	-0.0616	0.0243	-0.0133	0.0049
NA20773:NA20773	0.0467	0.0219	0.0203	-0.0141	0.0113	0.0101	0.0308	-0.0037	-0.0129	0.0112	0.1017	-0.022	0.0281	0.0066	-0.0252	-0.0012	0.0516	-0.0146	0.0196	-0.0509
NA20774:NA20774	0.0464	-0.0614	0.0017	-0.0657	0.0056	-0.0994	-0.042	-0.0325	0.0161	0.1214	0.0108	0.0072	-0.0146	-0.0056	-0.0905	-0.0478	-0.0378	0.0271	-0.0781	-0.0646
NA20775:NA20775	0.0468	-0.0476	-3e-04	-0.035	0.0388	-0.062	0.0241	-0.021	-0.0542	0.0599	-0.1127	0.0262	-0.0623	0.0045	0.0393	0.1273	0.0211	-0.0209	-0.0401	-0.0623
NA20778:NA20778	0.0244	-2e-04	-0.0077	0.0284	0.0252	-0.0557	0.0691	-0.0013	-0.0835	-0.0738	-0.0531	0.0722	0.011	0.0556	0.0737	0.0409	0.0687	0.0569	0.0577	-0.0971
NA20783:NA20783	0.0137	0.0309	0.1438	0.0604	-0.0305	-0.0885	-0.0019	0.0322	-0.0252	0.0347	0.0261	0.0775	0.0469	-0.0473	-0.111	-0.0991	0.0552	0.042	-0.0211	-0.0556
NA20785:NA20785	0.0276	-0.0285	-0.0126	0.0024	-0.0657	-0.0534	0.0609	-0.1083	0.0648	-0.0286	0.0584	0.0799	-0.0158	-0.0791	-0.003	-0.0582	-0.0369	-0.0418	0.0599	0.0344
NA20786:NA20786	0.0317	0.0665	0.0118	0.0063	-0.076	-0.0563	-0.0428	0.0034	0.0086	-0.0081	-0.0913	0.0384	0.0195	0.0228	0.0295	0.0256	-0.1051	-0.0708	0.0142	-0.086
